순위,곡명,가수명
1,Super Shy,NewJeans
2,Seven (feat. Latto) - Clean Ver.,정국
3,퀸카 (Queencard),(여자)아이들
4,헤어지자 말해요,박재정
5,I AM,IVE (아이브)
6,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
7,Spicy,aespa
8,Steal The Show (From “엘리멘탈”),Lauv
9,사랑은 늘 도망가,임영웅
10,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
11,Kitsch,IVE (아이브)
12,모래 알갱이,임영웅
13,Hype boy,NewJeans
14,ISTJ,NCT DREAM
15,우리들의 블루스,임영웅
16,Candy,NCT DREAM
17,다시 만날 수 있을까,임영웅
18,Broken Melodies,NCT DREAM
19,Ditto,NewJeans
20,무지개,임영웅
21,이제 나만 믿어요,임영웅
22,London Boy,임영웅
23,Polaroid,임영웅
24,손오공,세븐틴 (SEVENTEEN)
25,아버지,임영웅
26,Still With You,정국
27,New Jeans,NewJeans
28,인생찬가,임영웅
29,꽃,지수 (JISOO)
30,A bientot,임영웅
31,손이 참 곱던 그대,임영웅
32,Dynamite,방탄소년단
33,OMG,NewJeans
34,사랑해 진짜,임영웅
35,연애편지,임영웅
36,Attention,NewJeans
37,파랑 (Blue Wave),NCT DREAM
38,Cupid,FIFTY FIFTY
39,사건의 지평선,윤하 (YOUNHA)
40,Butter,방탄소년단
41,Like We Just Met,NCT DREAM
42,Take Two,방탄소년단
43,I Don't Think That I Like Her,Charlie Puth
44,보금자리,임영웅
45,Yogurt Shake,NCT DREAM
46,After LIKE,IVE (아이브)
47,Like Crazy,지민
48,사람 Pt.2 (feat. 아이유),Agust D
49,봄날,방탄소년단
50,Dangerously,Charlie Puth
51,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
52,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단"
53,Poison (모래성),NCT DREAM
54,In Bloom,ZEROBASEONE (제로베이스원)
55,LOVE DIVE,IVE (아이브)
56,Skateboard,NCT DREAM
57,SOS,NCT DREAM
58,Permission to Dance,방탄소년단
59,Pretzel (♡),NCT DREAM
60,심(心),DK(디셈버)
61,제자리 걸음 (Starry Night),NCT DREAM
62,물론,허각
63,Cream Soda,EXO
64,Teddy Bear,STAYC(스테이씨)
65,Allergy,(여자)아이들
66,The Planet,방탄소년단
67,사랑하지 않아서 그랬어,임한별
68,ANTIFRAGILE,LE SSERAFIM (르세라핌)
69,사랑인가 봐,멜로망스
70,사랑..그게 뭔데,지아
71,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
72,on the street (with J. Cole),"j-hope, J. Cole"
73,너의 모든 순간,성시경
74,나에게 그대만이,탑현
75,Heaven(2023),임재현
76,잠깐 시간 될까,이무진
77,빛이 나는 너에게,던 (DAWN)
78,취중고백,김민석 (멜로망스)
79,STAY,"The Kid LAROI, Justin Bieber"
80,That's Hilarious,Charlie Puth
81,NIGHT DANCER,imase
82,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
83,그중에 그대를 만나,김호중
84,첫 키스에 내 심장은 120BPM,경서
85,해요 (2022),#안녕
86,TOMBOY,(여자)아이들
87,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
88,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
89,사랑의 바보,제이세라
90,Nxde,(여자)아이들
91,New Kidz on the Block,ZEROBASEONE (제로베이스원)
92,Thirsty,aespa
93,KNOCK,이채연
94,찬란한 하루,멜로망스
95,Monologue,테이
96,다정히 내 이름을 부르면,"경서예지, 전건호"
97,Hear Me Out,EXO
98,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
99,우주먼지 (and I),ZEROBASEONE (제로베이스원)
100,그라데이션,10CM
